Column1,Content ID,Type,Datetime,Category,Score,Sentiments,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,Studying,20,neutral,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,Studying,75,positive,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,Studying,0,negative,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,Studying,75,positive,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,Studying,30,positive,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,Studying,10,negative,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,Studying,15,negative,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,Studying,10,negative,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,Studying,70,positive,,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,Studying,30,positive,,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,Studying,20,neutral,,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,Studying,12,negative,,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,Studying,5,negative,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,healthy eating,10,negative,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,healthy eating,45,positive,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,healthy eating,35,neutral,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,healthy eating,15,negative,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,healthy eating,5,negative,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,healthy eating,0,negative,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,healthy eating,5,negative,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,healthy eating,50,positive,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,healthy eating,65,positive,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,healthy eating,65,positive,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,healthy eating,60,positive,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,healthy eating,20,neutral,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,healthy eating,35,neutral,,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,healthy eating,65,positive,,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,healthy eating,50,positive,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,healthy eating,5,negative,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,healthy eating,75,positive,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,healthy eating,72,positive,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,healthy eating,15,negative,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,healthy eating,70,positive,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,healthy eating,72,positive,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,healthy eating,30,positive,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,healthy eating,60,positive,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,healthy eating,50,positive,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,healthy eating,50,positive,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,healthy eating,5,negative,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,healthy eating,30,positive,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,healthy eating,10,negative,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,healthy eating,35,neutral,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,healthy eating,60,positive,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,healthy eating,75,positive,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,healthy eating,70,positive,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,healthy eating,5,negative,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,healthy eating,10,negative,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,healthy eating,15,negative,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,healthy eating,10,negative,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,healthy eating,70,positive,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,healthy eating,30,positive,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,healthy eating,65,positive,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,healthy eating,60,positive,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,healthy eating,0,negative,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,healthy eating,72,positive,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,healthy eating,72,positive,,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,healthy eating,72,positive,,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,healthy eating,12,negative,,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,healthy eating,30,positive,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,technology,12,negative,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,technology,70,positive,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,technology,60,positive,,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,technology,15,negative,,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,technology,60,positive,,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,technology,5,negative,,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,technology,20,neutral,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,food,15,negative,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,cooking,30,positive,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,cooking,5,negative,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,cooking,70,positive,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,cooking,35,neutral,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,cooking,10,negative,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,cooking,65,positive,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,cooking,70,positive,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,cooking,30,positive,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,cooking,72,positive,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,cooking,50,positive,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,cooking,50,positive,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,cooking,70,positive,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,cooking,20,neutral,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,cooking,72,positive,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,cooking,12,negative,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,cooking,35,neutral,,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,cooking,10,negative,,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,cooking,10,negative,,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,cooking,45,positive,,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,cooking,20,neutral,,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,cooking,35,neutral,,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,cooking,72,positive,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,dogs,70,positive,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,dogs,60,positive,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,dogs,45,positive,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18-03-2021 01:53,dogs,12,negative,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021 07:21,dogs,0,negative,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23-12-2020 04:11,dogs,60,positive,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21-05-2021 07:23,dogs,5,negative,,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28-03-2021 23:25,dogs,50,positive,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16-09-2020 07:33,dogs,35,neutral,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08-11-2020 10:53,dogs,20,neutral,,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06-03-2021 05:23,dogs,60,positive,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021 23:35,dogs,0,negative,,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,06-09-2020 22:35,dogs,70,positive,,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24-06-2020 09:31,dogs,30,positive,,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07-02-2021 21:39,dogs,5,negative,,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21-01-2021 18:28,dogs,45,positive,,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,dogs,10,negative,,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22-08-2020 12:06,dogs,12,negative,,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03-08-2020 06:29,dogs,70,positive,,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-08-2020 06:20,dogs,15,negative,,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,04-06-2021 04:57,dogs,70,positive,,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21-10-2020 09:07,dogs,75,positive,,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,dogs,10,negative,,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-03-2021 22:47,dogs,15,negative,,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31-03-2021 09:48,dogs,20,neutral,,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14-06-2021 13:44,dogs,30,positive,,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27-12-2020 17:04,dogs,15,negative,,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11-02-2021 03:51,dogs,15,negative,,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07-12-2020 19:07,dogs,30,positive,,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28-12-2020 08:31,dogs,30,positive,,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26-10-2020 05:27,dogs,30,positive,,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26-09-2020 18:43,dogs,12,negative,,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25-11-2020 13:01,dogs,15,negative,,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11-07-2020 05:51,dogs,60,positive,,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19-03-2021 16:23,dogs,60,positive,,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11-10-2020 18:31,dogs,30,positive,,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02-11-2020 20:15,dogs,60,positive,,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,01-10-2020 03:35,dogs,70,positive,,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11-02-2021 20:10,dogs,0,negative,,,,
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,07-02-2021 15:59,dogs,70,positive,,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,17-10-2020 11:46,dogs,5,negative,,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,09-08-2020 19:41,dogs,50,positive,,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,01-02-2021 02:40,dogs,65,positive,,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30-01-2021 09:36,dogs,72,positive,,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31-03-2021 15:24,technology,70,positive,,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,05-02-2021 17:00,technology,75,positive,,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19-02-2021 16:29,technology,60,positive,,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,25-07-2020 00:00,technology,12,negative,,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13-07-2020 02:38,soccer,72,positive,,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,13-01-2021 13:11,soccer,20,neutral,,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,02-01-2021 16:46,soccer,12,negative,,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26-11-2020 02:25,soccer,45,positive,,,,
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,25-08-2020 19:18,soccer,70,positive,,,,
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,01-02-2021 00:15,soccer,5,negative,,,,
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,04-06-2021 14:36,soccer,65,positive,,,,
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19-08-2020 13:38,soccer,72,positive,,,,
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22-04-2021 02:08,soccer,70,positive,,,,
187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26-06-2020 10:33,soccer,75,positive,,,,
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,15-08-2020 18:16,soccer,50,positive,,,,
189,0bedca96-fb76-4287-a83c-17330ed39cce,love,26-11-2020 13:42,soccer,65,positive,,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,14-04-2021 00:56,public speaking,70,positive,,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,21-07-2020 21:27,public speaking,20,neutral,,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,29-03-2021 06:57,public speaking,10,negative,,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,20-05-2021 16:11,public speaking,70,positive,,,,
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,02-11-2020 06:09,public speaking,50,positive,,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,24-10-2020 15:37,public speaking,20,neutral,,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,07-09-2020 14:42,public speaking,60,positive,,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,04-03-2021 02:46,public speaking,15,negative,,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,07-01-2021 14:08,public speaking,72,positive,,,,
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,06-07-2020 11:18,public speaking,35,neutral,,,,
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,27-03-2021 04:56,public speaking,50,positive,,,,
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-11-2020 21:25,public speaking,45,positive,,,,
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,22-08-2020 01:25,public speaking,70,positive,,,,
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,14-06-2021 11:45,public speaking,35,neutral,,,,
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,15-07-2020 19:28,public speaking,12,negative,,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-03-2021 14:39,public speaking,45,positive,,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,07-04-2021 03:15,public speaking,75,positive,,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,24-04-2021 06:56,public speaking,70,positive,,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,30-09-2020 14:05,public speaking,60,positive,,,,
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,19-07-2020 19:28,public speaking,60,positive,,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,21-01-2021 07:08,public speaking,15,negative,,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,31-01-2021 13:48,public speaking,15,negative,,,,
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,24-12-2020 03:24,public speaking,5,negative,,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,27-05-2021 01:44,public speaking,0,negative,,,,
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,13-02-2021 04:14,public speaking,0,negative,,,,
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14-07-2020 04:36,public speaking,72,positive,,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,15-07-2020 16:03,public speaking,10,negative,,,,
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,08-10-2020 17:23,public speaking,50,positive,,,,
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,12-11-2020 23:55,public speaking,60,positive,,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,21-02-2021 05:01,public speaking,70,positive,,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,09-07-2020 08:58,public speaking,45,positive,,,,
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,26-06-2020 23:45,public speaking,72,positive,,,,
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,20-11-2020 13:18,public speaking,12,negative,,,,
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,29-05-2021 21:34,public speaking,50,positive,,,,
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,22-02-2021 02:48,public speaking,20,neutral,,,,
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-01-2021 18:39,public speaking,15,negative,,,,
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,01-10-2020 15:10,public speaking,72,positive,,,,
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,21-11-2020 08:24,public speaking,5,negative,,,,
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15-04-2021 13:50,public speaking,15,negative,,,,
230,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,30-06-2020 01:14,public speaking,65,positive,,,,
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,01-12-2020 15:06,public speaking,70,positive,,,,
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-11-2020 00:47,public speaking,15,negative,,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,30-06-2020 13:08,science,75,positive,,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,04-08-2020 03:09,science,60,positive,,,,
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,28-07-2020 07:01,science,45,positive,,,,
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,25-10-2020 02:39,science,75,positive,,,,
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,05-07-2020 03:37,science,12,negative,,,,
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,28-04-2021 15:16,science,70,positive,,,,
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,31-01-2021 00:54,science,20,neutral,,,,
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,29-08-2020 11:37,science,72,positive,,,,
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,15-10-2020 12:09,science,45,positive,,,,
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,02-08-2020 21:20,science,65,positive,,,,
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,31-10-2020 21:46,science,15,negative,,,,
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,12-10-2020 09:40,science,60,positive,,,,
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12-12-2020 12:22,science,70,positive,,,,
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,09-01-2021 16:37,science,50,positive,,,,
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,23-08-2020 04:39,science,5,negative,,,,
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,22-12-2020 04:20,science,65,positive,,,,
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,07-11-2020 08:49,science,0,negative,,,,
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,17-04-2021 22:45,science,72,positive,,,,
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,21-04-2021 00:21,science,15,negative,,,,
253,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,19-07-2020 10:33,science,45,positive,,,,
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,06-07-2020 02:08,science,45,positive,,,,
